Time_Period,Electricity: Average (Pence per kWh),Gas: Average (Pence per kWh)
2004_Q1,3.724,1.162
2004_Q2,3.593,1.151
2004_Q3,3.663,1.15
2004_Q4,4.456,1.2239524882602573
2005_Q1,4.572,1.488
2005_Q2,4.6,1.561
2005_Q3,4.738,1.443
2005_Q4,5.52,1.9096338886056725
2006_Q1,6.086935184344484,2.255
2006_Q2,6.100080004435822,1.858
2006_Q3,6.239715444940466,1.82
2006_Q4,7.0313754113318225,2.012164958457465
2007_Q1,7.393624046428003,2.1642695226502404
2007_Q2,6.486570259750444,1.7181577640152579
2007_Q3,6.6337868545186165,1.516117371401958
2007_Q4,6.874432370624938,1.9076903226578787
2008_Q1,7.11918493732588,2.1409927230792305
2008_Q2,7.429886265484233,2.2532216380078407
2008_Q3,7.813896286186679,2.300858374026059
2008_Q4,9.445380355119593,2.781745698065699
2009_Q1,9.05696031493988,2.7950135217664624
2009_Q2,9.133810629093709,2.4052148717145787
2009_Q3,8.85282530076275,1.8600500908876676
2009_Q4,8.555653385992581,1.9349645908453852
2010_Q1,8.470069241858285,2.151381551883957
2010_Q2,8.146115228870903,1.926664492892884
2010_Q3,8.21034720923664,1.8978418967012254
2010_Q4,8.141568792722683,2.0574822024127375
2011_Q1,8.134438078366921,2.203641168553523
2011_Q2,8.062735405157468,2.2877990008880933
2011_Q3,8.124212057422577,2.1440983358581738
2011_Q4,8.683514673802444,2.551648049554797
2012_Q1,8.89631044309785,2.756914367384236
2012_Q2,8.849393548430033,2.7652895427409176
2012_Q3,8.84374376139759,2.639976647400919
2012_Q4,9.168767122699045,2.7942656252972067
2013_Q1,9.286014649827596,2.9377429456622033
2013_Q2,9.461043679409169,3.0280596103530177
2013_Q3,9.445946544759279,2.9795887530914986
2013_Q4,9.919204819245131,2.954445297665984
2014_Q1,10.057294521488902,3.060638526691944
2014_Q2,9.941740709553564,2.8496038503431875
2014_Q3,9.846464488737478,2.7389447568561303
2014_Q4,10.182926018835946,2.8201890199962985
2015_Q1,10.350965409807028,2.761554601448059
2015_Q2,10.18276825770331,2.5968295447882346
2015_Q3,10.157067987053944,2.6518055602008146
2015_Q4,10.243679720383652,2.521835240642263
2016_Q1,10.173412795152025,2.417656185956233
2016_Q2,9.920483799688608,2.232209586545474
2016_Q3,9.990228978729746,2.2364649057581567
2016_Q4,10.425794832982815,2.1304593651693144
2017_Q1,10.54515465409076,2.1325674097050276
2017_Q2,10.382444716269935,2.1282590999686453
2017_Q3,10.380121433808956,2.035801573319749
2017_Q4,10.891898910924493,1.9789978244143924
2018_Q1,11.063892389726087,2.187554957946483
2018_Q2,11.117738536773127,2.3616708403223643
2018_Q3,11.347674874249327,2.442385259081012
2018_Q4,11.939144014904146,2.4576202457176577
2019_Q1,12.415224336792576,2.4505630063330206
2019_Q2,11.608857092484358,2.3021780814391954
2019_Q3,11.681681950442465,2.250232979163936
2019_Q4,13.249088177659985,2.329961296668077
2020_Q1,13.656503077518146,2.4135572652065367
2020_Q2,12.699943745438496,2.1990742171666366
2020_Q3,12.217472347376292,2.192540930865054
2020_Q4,13.564536825607071,2.308822587028169
2021_Q1,14.093888351981297,2.303459251372826
2021_Q2,12.871371772061904,2.399741677337007
2021_Q3,13.224118726962281,2.912061771406594
2021_Q4,17.0364670132331,3.9769659838021214
2022_Q1,17.446175641116962,3.9261754978882464
2022_Q2,18.6319580245593,4.767035492557129
2022_Q3,21.518042037110806,6.542257415548624
2022_Q4,24.062552398456415,5.805871489867908
2023_Q1,21.511813362976312,7.028947452510114
